797#99#675#99#I N S S#99#1152.05#99#false#99#0110000000000
797#99#675#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#244.57#99#false#99#0110000000000
797#99#675#99#Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal#99#4210.65#99#false#99#0110000000000
801#99#674#99#I N S S#99#446.90#99#false#99#0110000000000
801#99#674#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#195.66#99#false#99#0110000000000
801#99#674#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#333.90#99#false#99#0110000000000
801#99#674#99#CAIXA ECONOMICA FEDERAL EMPRESTIMO#99#445.99#99#false#99#0110000000000
801#99#674#99#CONTRIBUIÇÃO SINDICAL#99#21.36#99#false#99#0110000000000
801#99#674#99#Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal#99#54.04#99#false#99#0110000000000
802#99#676#99#BANCO SANTANDER BRASIL S/A#99#4427.28#99#false#99#0110000000000
802#99#676#99#Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal#99#2759.45#99#false#99#0110000000000
802#99#676#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#10.00#99#false#99#0110000000000
802#99#676#99#PENSÃO ALIMENTICIA A RECEBER - FOLHA DE PAGAMENTO#99#449.10#99#false#99#0110000000000
802#99#676#99#CAIXA ECONOMICA FEDERAL EMPRESTIMO#99#4695.40#99#false#99#0110000000000
802#99#676#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#4946.59#99#false#99#0110000000000
802#99#676#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#625.62#99#false#99#0110000000000
802#99#676#99#BRASIL OURO CLUBE LTDA ME#99#68.42#99#false#99#0110000000000
802#99#676#99#BANCO DO BRASIL S.A. EMPRESTIMO#99#580.89#99#false#99#0110000000000
802#99#676#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#3053.80#99#false#99#0110000000000
802#99#676#99#CONTRIBUIÇÃO SINDICAL#99#1753.54#99#false#99#0110000000000
802#99#676#99#I N S S#99#9213.08#99#false#99#0110000000000
805#99#679#99#I N S S#99#2309.06#99#false#99#0110000000000
805#99#679#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#20.00#99#false#99#0110000000000
805#99#679#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#293.49#99#false#99#0110000000000
805#99#679#99#CONTRIBUIÇÃO SINDICAL#99#47.67#99#false#99#0110000000000
805#99#679#99#BANCO SANTANDER BRASIL S/A#99#546.00#99#false#99#0110000000000
805#99#679#99#Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal#99#1155.57#99#false#99#0110000000000
807#99#682#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#527.79#99#false#99#0110000000000
807#99#682#99#Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal#99#85.15#99#false#99#0110000000000
807#99#682#99#BANCO SANTANDER BRASIL S/A#99#970.16#99#false#99#0110000000000
807#99#682#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#171.60#99#false#99#0110000000000
807#99#682#99#BANCO DO BRASIL S.A. EMPRESTIMO#99#852.90#99#false#99#0110000000000
807#99#682#99#U S P E S P#99#78.00#99#false#99#0110000000000
807#99#682#99#CAIXA ECONOMICA FEDERAL EMPRESTIMO#99#1861.65#99#false#99#0110000000000
808#99#683#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#10.00#99#false#99#0110000000000
808#99#683#99#BANCO SANTANDER BRASIL S/A#99#288.00#99#false#99#0110000000000
808#99#683#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#547.52#99#false#99#0110000000000
808#99#683#99#BANCO DO BRASIL S.A. EMPRESTIMO#99#444.83#99#false#99#0110000000000
809#99#684#99#I N S S#99#3764.94#99#false#99#0110000000000
809#99#684#99#ASSOC SERV PUBLICOS MUNICIPAIS#99#179.90#99#false#99#0110000000000
809#99#684#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#1622.83#99#false#99#0110000000000
809#99#684#99#FUNDAÇÃO WALDEMAR BARNSLEY PESSOA#99#615.75#99#false#99#0110000000000
809#99#684#99#BANCO DO BRASIL S.A. EMPRESTIMO#99#331.96#99#false#99#0110000000000
809#99#684#99#BANCO SANTANDER BRASIL S/A#99#525.76#99#false#99#0110000000000
